event_id,order,summary,cause_ids,cause_type,actor_id,goal,decision,consequence,state_change,new_information,audience_effect,dependent_event_ids,counterfactual_result,deletion_impact,production_note
"CE-01","1","The protagonist establishes an authored homestead, a seated-wolf routine and a timber stair separated from a lava shelf.","","initial_state","PROTAGONIST","Maintain a safe home and dependable mining routine.","He builds with timber above the ravine and leaves the wolf seated when descending.","The world feels controlled but contains a visually legible fire route and an animal that cannot self-evacuate.","Unquestioned security becomes latent vulnerability.","Only the protagonist should have made persistent changes in this world.","The viewer trusts his authorship and invests in an ordinary bond before the mystery.","CE-02;CE-06;CE-08;CE-09","pass","Without this state, the portal contradiction, fire geography and wolf choice lose credibility.","Capture intact geography from angles that can be repeated after damage."
"CE-02","2","The younger protagonist finds the older-built portal and chooses to enter.","CE-01;CE-06","parallel_cause","PROTAGONIST","Identify who violated his private-world authorship.","He crosses despite lacking a safe explanation or return plan.","He arrives at the same ravine after the homestead has burned.","Secure owner becomes displaced investigator.","The impossible frame is functional and its footing and torch placement are oddly familiar.","The threshold promise is honoured and the builder question expands into a time question.","CE-03;CE-04;CE-06","pass","Deleting entry removes every displacement, intervention and later rescue cause.","Match the portal details precisely between discovery and construction."
"CE-03","3","In the aftermath, he finds the empty wolf pen and glimpses the ridge figure created by his later self.","CE-02;CE-10","parallel_cause","PROTAGONIST","Find the wolf and confront the apparent survivor.","He interprets absence as possible loss and pursues the silhouette.","The figure evades him, leaving the portal as the only actionable route.","Temporal wonder becomes personal dread and suspicion.","The landscape is the same place after destruction, but the figure and wolf remain unidentified.","The viewer can suspect future-self logic without receiving confirmation.","CE-04;CE-10","pass","Without the empty pen and silhouette, the second crossing and final reverse-angle payoff lack motivation.","Frame the wolf below the ridge line so its survival is concealed fairly."
"CE-04","4","He crosses the aftermath portal and is ejected into the cave shortly before his original discovery, where no frame exists.","CE-03","prior_event","PROTAGONIST","Return early enough to warn himself and prevent the ruin.","He risks a second transit instead of remaining in the aftermath.","The exit collapses behind him and the visible younger self proves he is stranded in his own past.","Future pursuit becomes past entrapment.","This anomaly follows a fixed event route rather than a selectable destination.","The parallel-world reading weakens and causal-loop expectations strengthen.","CE-05;CE-06","pass","Without this displacement, he cannot become the builder or participate in the fire.","Use a transient portal plane and then reveal bare stone where the frame will stand."
"CE-05","5","He avoids direct contact and lays an incomplete red-wool evacuation marker that he remembers from the opening.","CE-01;CE-04","parallel_cause","PROTAGONIST","Warn or move the wolf without causing the younger self to reject the portal.","He takes local wool, begins a route towards the eastern drain and hides when the younger self approaches.","The warning remains ambiguous and is later dismissed, but its remembered existence proves participation in one history.","Stranded observer becomes active cause.","His intervention did not create a different past; it created a detail already observed.","Hope of revision contracts into recognition, with responsibility preserved.","CE-06;CE-07;CE-09","pass","Deleting the marker removes the first self-caused memory and weakens the final rescue route.","Keep the marker to three blocks without an arrowhead and source the wool from the past-state barrel."
"CE-06","6","He mines local obsidian and builds the remembered portal using hurried spruce staging near the lava shelf.","CE-02;CE-04;CE-05","parallel_cause","PROTAGONIST","Give his younger self the foreknowledge he believes is necessary for rescue.","He voluntarily copies the footing, torch and frame, accepting the risk of preserving the journey.","The portal exists for the opening and the staging creates a proposed flammable bridge to the timber stair.","No frame becomes completed frame plus latent fire path.","The unknown builder is the protagonist and every block has a local material origin.","Mystery satisfaction turns immediately into dread about what his construction may cost.","CE-02;CE-07;CE-08","pass","Without this event, the title question, temporal journey and ordinary fire cause all collapse.","The fire connection is a candidate mechanic requiring version-specific testing before lock."
"CE-07","7","From concealment, the older self lets the younger self enter without warning him directly.","CE-05;CE-06","prior_event","PROTAGONIST","Preserve the journey that supplied the only rescue knowledge he trusts.","He remains silent although he can still reveal himself or damage the frame.","The younger self crosses, completing the discovery event and leaving the older self beside the emerging hazard.","Possible confrontation becomes chosen concealment.","The apparent absence of a warning was an older-self decision rather than temporal coercion.","The audience understands the moral cost inside the causal logic.","CE-08;CE-10","pass","Deleting the choice turns the fixed chain into compulsion and removes protagonist responsibility.","Use eyelines or separated plates; no close two-avatar performance is required."
"CE-08","8","The proposed lava-to-staging-to-stair chain ignites the homestead, and his first response prioritises the structure.","CE-06;CE-07","parallel_cause","PROTAGONIST","Stop the known destruction before it matches the aftermath.","He breaks burning stair blocks and repeatedly relocates his single water source across the house.","Separated fronts outrun the defence and the trapped wolf becomes audible as part of the roof fails.","Latent hazard becomes irreversible practical crisis.","His own temporary construction supplied the missing ordinary cause of the fire.","Causal recognition and dread replace any expectation of supernatural correction.","CE-09","pass","Without a traceable ordinary chain, the destruction is arbitrary and the climax is unearned.","Test lava ignition range, random-tick timing, fire spread and water coverage in the target version."
"CE-09","9","He abandons roof defence, redirects the water through the eastern stone drain and releases the wolf.","CE-01;CE-05;CE-08","parallel_cause","PROTAGONIST","Save the living companion when the house and wolf can no longer both receive his time.","He reallocates the water, crosses the cleared approach, opens the pen and releases the seated wolf.","The wolf escapes through the marked route while the homestead burns to the observed state.","Control through preservation becomes care through chosen loss.","The future’s empty pen was incomplete evidence, not proof of death.","The fixed outcome gains an emotionally meaningful distinction rather than a replacement.","CE-10","pass","Deleting this decision leaves the protagonist passive and the theme merely stated.","Rehearse water routing, pen access and wolf following; do not rely on accidental teleportation."
"CE-10","10","At dawn he conceals the wolf, recreates the ridge silhouette and extinguishes the portal after his earlier self crosses.","CE-03;CE-04;CE-09","parallel_cause","PROTAGONIST","Preserve the rescue-producing journey while ending further travel for himself.","He keeps the wolf below the ridge, performs the recognisable crouch-and-torch action, allows pursuit and douses the frame after the crossing.","His earlier self is drawn back to the portal, the identity clue closes and the older self continues forwards with the wolf.","Apparent stranger becomes self-authored evidence; active portal becomes dark frame.","The ridge figure was the protagonist and the wolf was alive outside the earlier viewpoint.","Mystery resolution, relief and moral unease coexist in the final image.","CE-03;CE-04;CE-05","pass","Deleting the event breaks the second-crossing cause, figure payoff and closing visual transformation.","Use one distant duplicate plate and a reverse angle that reveals the wolf below the ridge."
