beat_id,sequence_id,order,actor_id,attempt,interference,change,next_cause,purpose,reveal,visual,audio,estimated_seconds,dependency
"BEAT-01","SQ-01","1","PROTAGONIST","Complete dusk chores and leave the wolf seated safely.","Three unexplained red wool blocks interrupt an otherwise authored routine.","He dismisses them and descends towards an unfamiliar purple glow.","CE-01","Establish bond, geography and the protagonist’s control habit.","The private world contains one detail he cannot confidently claim.","The wolf sits; timber stair passes above a separated lava glow.","Quiet tools, wolf panting and a distant portal hum.","60","SC-01"
"BEAT-02","SQ-01","2","PROTAGONIST","Identify the portal builder through physical inspection.","No access history or inventory explanation accounts for the completed frame.","Familiar footing and a reversed torch deepen rather than solve the contradiction.","CE-02","Define the title mystery and fair clue language.","The frame was deliberately constructed by someone who knows this cave.","Hand checks empty chest, cobblestone foot and left-wall torch.","Restrained narration and portal ambience.","60","SC-02"
"BEAT-03","SQ-01","3","PROTAGONIST","Test the only remaining path by entering.","Fear of losing the known world competes with curiosity and authorship.","He crosses and emerges beside an ash-filled version of the ravine.","CE-03","Make the disruption a protagonist decision rather than an abduction.","The portal’s destination is temporal or imitative, not the expected Nether.","Matched cave exit changes from dusk and intact blocks to dawn and ruin.","Portal transition followed by abruptly sparse ambience.","60","SC-02"
"BEAT-04","SQ-02","4","PROTAGONIST","Reach the homestead and find the wolf.","Fire damage and missing blocks erase the familiar route; the pen is empty.","He reads the landscape as a future in which everything living may be gone.","CE-03","Attach personal stakes to spatial mystery.","This is the same homestead after a specific destruction.","Matched doorway, collapsed roof, open pen and untouched stone drain.","Narration shifts from mapping to restrained dread.","90","SC-03"
"BEAT-05","SQ-02","5","PROTAGONIST","Catch the distant figure who may know what happened.","The figure uses the ridge to conceal the wolf and stays beyond identification range.","A two-crouch check and left-wall torch register as oddly familiar before the figure disappears.","CE-04","Seed self-identity and provide an active pursuit.","The apparent stranger knows the protagonist’s navigation habits.","Distant silhouette crosses crest; torch appears after two crouches.","Footsteps, one wolf sound masked by wind and no second voice.","70","SC-04"
"BEAT-06","SQ-02","6","PROTAGONIST","Use the portal to return and attempt a better outcome.","The ridge trail ends and no other route explains the changed world.","The crossing ejects him into a bare cave before the frame exists.","CE-04","Turn pursuit into temporal entrapment.","The anomaly has a fixed event route and can exit where no frame yet stands.","Portal surface collapses to bare stone behind him.","Transition cuts to younger mining sounds above.","50","SC-04"
"BEAT-07","SQ-03","7","PROTAGONIST","Date the world state and find an exit.","Missing portal blocks and undamaged landmarks precede every event he remembers.","He sees his younger self beside the living wolf and accepts that this is his past.","CE-05","Separate one timeline from alternate-world interpretations.","Two personal states of the protagonist coexist at one world time.","Foreground cover frames younger self and wolf on the west rim.","Narration names observation, not a theory of repeats.","80","SC-05"
"BEAT-08","SQ-03","8","PROTAGONIST","Warn or move the wolf without revealing himself.","The younger self approaches and a complete sign would expose outside agency.","He lays three local red wool blocks, recognises the opening marker and abandons the arrowhead.","CE-05","Prove that intervention forms remembered history through character choice.","The apparently forgotten marker was his own later warning.","Three blocks point vaguely towards the eastern drain; the fourth remains in his hand.","Approaching footsteps interrupt narration and construction sounds.","90","SC-06"
"BEAT-09","SQ-03","9","PROTAGONIST","Find a reliable way to give his younger self useful foreknowledge.","Direct warning risks refusal; no exit frame exists; the discovery time is approaching.","Comparing the bare wall with his memory, he decides to become the builder.","CE-06","Convert recognition into a costly commitment.","The portal was not waiting for him independently; his choice completes its cause.","He marks the remembered footing and looks from lava shelf to frame site.","A restrained causal recap ends on renewed mining sound.","100","SC-07"
"BEAT-10","SQ-04","10","PROTAGONIST","Obtain enough ordinary obsidian before the younger self descends.","The lava shelf is awkward to reach and time pressure favours expedient staging.","Water cooling creates the odd cobblestone foot while spruce staging closes the gap to the timber stair.","CE-06","Give materials linear origins and plant the destruction cause.","Every mysterious construction detail comes from a practical decision.","Water meets lava; obsidian is mined; spruce crosses the formerly empty gap.","Tool rhythm accelerates under distant younger-self movement.","90","SC-08"
"BEAT-11","SQ-04","11","PROTAGONIST","Reconstruct and light the exact remembered frame.","The last blocks force him to choose speed over removing the staging.","The portal activates with the asymmetry and reversed torch intact.","CE-07","Pay off the builder mystery through visible action.","The protagonist made the portal from local blocks while copying his memory of it.","Opening portal composition is repeated from the opposite side.","The portal sound returns before narration confirms recognition.","100","SC-08"
"BEAT-12","SQ-04","12","PROTAGONIST","Ensure the younger self enters without disrupting him.","He can reveal himself, dismantle the frame or preserve the only rescue path he knows.","He chooses silence, watches entry and then notices smoke rising along the stair.","CE-08","Make concealment an accountable decision and launch the physical climax.","The opening hesitation was watched by the builder himself.","Matched opening blocking; first ember appears on the spruce staging.","Younger footsteps and portal transit give way to fire crackle.","80","SC-09"
"BEAT-13","SQ-05","13","PROTAGONIST","Keep the fire from reproducing the ruin.","Connected timber has created separated fronts and one movable water source cannot cover them.","He recognises his staging as the origin while a collapse exposes the trapped wolf’s distress.","CE-09","Turn causal guilt into a forced allocation of action.","No anomaly caused the destruction; his expedient construction completed the route.","Water moves across roof sections while fire climbs from the undercroft.","Fire, breaking blocks and the first clear wolf cry overtake narration.","90","SC-10"
"BEAT-14","SQ-05","14","PROTAGONIST","Reach and release the wolf before the pen is cut off.","The safe yard route is burning and the water source is still defending the house.","He abandons the roof, routes water through the stone drain, opens the pen and releases the wolf.","CE-10","Resolve the central question through a resource-backed value choice.","The future’s empty pen did not show the whole outcome.","Wet stone lane, opened gate, wolf standing and following as roof burns behind.","Narration falls away for the choice; wolf and water carry the moment.","110","SC-11"
"BEAT-15","SQ-05","15","PROTAGONIST","Leave with the wolf while preserving the journey his earlier self must complete.","The portal flares and the arriving self can see the ridge but not below it.","He hides the wolf, recreates the silhouette, waits for the crossing, extinguishes the portal and walks on.","CE-10","Unite figure identity, wolf survival, fixed outcome and closing image.","The feared stranger and successful rescuer are the same person.","Reverse ridge angle reveals wolf; final frame mirrors the opening departure.","Two crouches, torch placement, portal dousing and first-light ambience.","70","SC-12"
