info_id,question_or_fact,audience_knows_before,audience_expects_before,character_knowledge_before,delivery_beat_or_scene,audience_knows_after,audience_expects_after,emotional_orientation_after,withheld_or_revealed,fairness_setup_ids,payoff_or_resolution_id,notes
"INF-01","Who built the portal?","The world is private and the cave was previously empty.","An intruder, anomaly or forgotten construction may explain it.","The protagonist is certain he did not build it before this discovery.","SC-02","Someone deliberately built it with familiar but inconclusive habits.","The builder may be another player or a later version of the protagonist.","Intrigue with violated security.","withheld","SP-01;SP-03","PAY-01","No access claim beyond supplied canon is introduced."
"INF-02","Is the destination the same world at another time?","A portal normally implies another dimension within the story’s Minecraft language.","The other side may be the Nether, a copy or a ruined future.","The protagonist expects an unfamiliar destination.","SC-03;SC-05","Matched geography and then the visible younger self establish one location at different times.","The audience expects participation in a fixed history rather than parallel worlds.","Dread becomes pattern recognition.","revealed","SP-02;SP-10","PAY-02","Spatial proof arrives before explicit temporal interpretation."
"INF-03","Can an intervention create a different past?","The protagonist has not yet acted in the earlier state.","A warning may permit a corrected version.","He still hopes the second crossing is another chance.","SC-06","The wool marker he lays is the same marker he already remembers.","Further interventions are expected to become causes of observed details.","Claustrophobic recognition without removing choice.","revealed","SP-04;SP-10","PAY-04","The warning fails because it is incomplete and ambiguous, not because a force erases it."
"INF-04","Who made the red wool marker?","The opening presented it as a detail the protagonist had treated as abandoned work.","It may be irrelevant decoration or another player’s warning.","He cannot remember placing it.","SC-06","His travelling self takes local wool and lays the incomplete route.","The audience now examines other familiar irregularities as self-authored clues.","Recognition and unease.","revealed","SP-04","PAY-04","The wool has a local material origin and is not carried into a closed object loop."
"INF-05","Why does the portal match his own habits?","Footing, torch and geometry have been shown but not uniquely attributed.","A knowledgeable stranger or temporal echo may be responsible.","He increasingly suspects he must reproduce the frame.","SC-08;SC-09","He physically mines the obsidian, creates the footing, places the torch and watches his younger self enter.","The remaining suspense moves from builder identity to the cost of his construction.","Mystery satisfaction followed by dread.","revealed","SP-01;SP-03","PAY-01","The confirmation is an action match rather than an explanatory monologue."
"INF-06","What causes the homestead fire?","The audience has seen lava, timber separation and the older self’s added spruce staging.","The portal anomaly, lava or an unknown figure may be blamed.","The protagonist believes foreknowledge may let him prevent the cause.","SC-10","Fire traces from contained lava through his staging into the connected timber stair.","The audience expects the known ruin but not necessarily total relational loss.","Causal guilt and urgency.","revealed","SP-07;SP-10","PAY-07","Exact Minecraft behaviour remains conditional on version testing."
"INF-07","Did the wolf die in the fire?","The aftermath showed an empty open pen without remains or direct death evidence.","Loss is feared, while escape remains logically possible.","The protagonist initially treats the absence as likely loss.","SC-11","He releases the seated wolf and leads it through the eastern drain.","The audience expects the final angle to explain why the earlier self did not see it.","Relief grounded in prior mechanics.","revealed","SP-06;SP-08;SP-09","PAY-08","The narration may express fear but must never assert death."
"INF-08","Who was the ridge figure?","The figure shared a movement habit and knew where to disappear.","A hostile survivor, older self or temporal echo remains possible.","The protagonist only understands after reaching the same dawn with the wolf.","SC-12","The older protagonist deliberately recreates the silhouette while hiding the wolf below the ridge.","The audience can reconstruct why the earlier self chased and crossed again.","Resolution with moral unease.","revealed","SP-05;SP-08","PAY-05","Use the exact crouch count, torch side and camera line from SC-04."
"INF-09","Did any event repeat or change outcome?","Several states of the same place could initially resemble retries.","The protagonist hopes foreknowledge produces a revised fire.","He gradually recognises his remembered interventions.","SC-12","One world chronology accounts for marker, portal, fire, rescue and silhouette; the ruin is unchanged.","No reset or branch is expected after the portal is extinguished.","Causal closure and acceptance.","revealed","SP-10","PAY-10","Repeated compositions are viewpoints on single events, not repeated events."
"INF-10","Where did the portal’s temporal routing first originate?","The physical frame has ordinary materials but behaves unlike an ordinary portal.","The builder reveal may also explain the anomaly’s first cause.","The protagonist only knows the route empirically and copies the remembered arrangement.","SC-12","He made the frame, but no external first design for its temporal pattern is supplied.","The question remains thematic rather than a missing rescue or fire cause.","Reflective residue after practical closure.","intentionally_open","SP-11","OPEN-01","Human approval is required before treating this open causal-information loop as canon."
