setup_id,setup_beat_or_scene,setup,initial_audience_interpretation,payoff_id,payoff_beat_or_scene,payoff,planned_payoff_type,resolution_status,intentionally_open_reason,latest_acceptable_point,notes
"SP-01","SC-02","A lit constructed portal exists in a private cave known to be empty.","Another player, forgotten work or an unexplained anomaly built it.","PAY-01","SC-08;SC-09","The protagonist mines local obsidian, builds the exact frame and watches his younger self discover it.","confirmation","planned","","SC-09","Builder identity must resolve before the fire choice becomes the primary question."
"SP-02","SC-03","The ruined ravine repeats the same profile, tree line, stone drain and player-made alignments.","It may be a copy or simulated future.","PAY-02","SC-05","The bare portal site and visible younger self prove the destination is the same world at an earlier time.","confirmation","planned","","SC-05","Use matched lenses and blocking rather than narration alone."
"SP-03","SC-02","The portal has an asymmetrical cobblestone foot and a torch on the unexpected wall.","They are habits or mistakes of an unknown builder.","PAY-03","SC-08","Water cooling produces the foot and the protagonist places the torch while working from the reverse approach.","reinterpretation","planned","","SC-08","Both details must be legible in the opening without uniquely identifying him."
"SP-04","SC-01","Three red wool blocks point vaguely from the pen towards the eastern drain but have no arrowhead.","They are abandoned decoration or a forgotten route marker.","PAY-04","SC-06;SC-11","The older self lays the interrupted warning, then later uses the same route during the rescue.","escalation","planned","","SC-11","The warning’s ambiguity results from his concealment decision, not damaged information."
"SP-05","SC-04","The ridge figure crouches twice to orient and places a torch on the left-facing wall.","A knowledgeable stranger shares an oddly specific habit.","PAY-05","SC-12","The protagonist deliberately repeats the exact action while drawing his earlier self back to the portal.","confirmation","planned","","SC-12","Continuity requires identical count, side, position and camera silhouette."
"SP-06","SC-01","The wolf is seated behind a closed pen beside the eastern stone drain.","It is safely left at home during an ordinary mining trip.","PAY-06","SC-11","The seated state prevents self-evacuation, so the protagonist must reach the pen and release it through the drain route.","character_choice","planned","","SC-11","Do not resolve by unexplained teleportation or autonomous escape."
"SP-07","SC-01","A visible air-and-stone gap separates the contained lava shelf from the existing timber maintenance stair.","The lava is environmental texture kept at a safe distance.","PAY-07","SC-08;SC-10","Hurried spruce staging closes the gap; fire later traces through that addition into the stair and house.","tragic_fulfilment","planned","","SC-10","Mechanic, geometry and timing require target-version testing before lock."
"SP-08","SC-03","The burned pen is open and empty, with no direct evidence of the wolf’s death.","The protagonist and audience fear that the wolf was lost.","PAY-08","SC-11;SC-12","The wolf is rescued and then concealed below the ridge during the earlier viewpoint.","reversal","planned","","SC-12","Never add remains, a death sound or narration that converts fear into fact."
"SP-09","SC-02","The protagonist carries one movable water source as part of his ordinary survival kit.","It is routine utility equipment and possible fire protection.","PAY-09","SC-10;SC-11","Moving it among separated roof fronts fails; relocating it to the stone drain creates the concentrated rescue route.","character_choice","planned","","SC-11","Test retrieval and flow so the limitation is time and coverage rather than an invented rule."
"SP-10","SC-03;SC-06","Block damage, marker positions and objects accumulate consistently rather than resetting.","The portal may still permit another attempt with a new outcome.","PAY-10","SC-10;SC-12","The fire creates the same ruin and the final ridge action creates the same sighting already observed.","confirmation","planned","","SC-12","No scene may depict alternative results or an invisible correction."
"SP-11","SC-02;SC-04","An ordinary-looking frame routes entry from discovery to aftermath and then to a pre-frame ejection.","Builder identity may explain both construction and the temporal property’s first origin.","OPEN-01","SC-12","The protagonist is confirmed as physical builder, while the first source of the copied temporal routing remains unanswered.","reinterpretation","intentionally_open","The unexplained design-information loop supports the authorship theme and is not required to cause the fire, rescue or identity resolution.","SC-12","This open status remains a proposal pending human approval."
