asset_id,asset,type,source_or_owner,licence,version,needed_for,status,notes
SW-001,Minecraft Java Edition,game,Mojang Studios,Proprietary,1.20.1,Base production and world generation,research_candidate,Use one game version for every echo and capture system.
SW-002,Fabric Loader,mod_loader,FabricMC,Apache-2.0,Unpinned pending clean-profile test,Loading the candidate mod stack,research_candidate,Record the exact loader build after a successful launch and disable automatic updates after validation.
MOD-001,Immersive Portals,mod,qouteall official release page SRC-011,Apache-2.0,5.2.0-mc1.20.1-fabric,See-through portal rendering and controlled destinations,research_candidate,Do not approve until the exact download and hash are recorded and the portal test passes.
MOD-002,Multiworld,mod,IsaiahMC official pages SRC-005 and SRC-006,LGPL-3.0-or-later,1.12,Separate overworld-like echo worlds,research_candidate,Compatibility with Immersive Portals remains unverified.
MOD-003,Dimensional Weather,mod,crafter312 official pages SRC-007 and SRC-008,MIT,1.1-1.20.1,Independent dry and rainy weather states,research_candidate,Portal-view rain lighting and ambience remain unverified.
DEP-001,Fabric API,library,FabricMC,Apache-2.0,Unpinned pending clean-profile test,Required library for candidate Fabric mods,dependency_pending,Resolve through official release metadata and record the exact jar and hash.
DEP-002,iCommon API,library,Isaiah,LGPL-3.0 AND Unlicense,Unpinned pending clean-profile test,Required library for Multiworld,dependency_pending,Resolve through official release metadata and record the exact jar and hash.
WORLD-000,Echo master world,world_asset,Luan,Owned,Minecraft 1.20.1 with seed not selected,Canonical clean terrain source for R0-R4,not_created,Verify the hero ravine and preserve an untouched backup before duplication.
WORLD-R0,R0 clearing world,world_asset,Luan,Owned,Derived from WORLD-000,Dry first-threshold reality,not_created,Preserve fresh clearing and established MATCH FRAME A milestones separately.
WORLD-R1,R1 rain echo world,world_asset,Luan,Owned,Derived from WORLD-000,Rain echo with water and dense growth,not_created,Independent weather must be validated through the portal.
WORLD-R2,R2 ash echo world,world_asset,Luan,Owned,Derived from WORLD-000,Scorched and ash-altered echo,not_created,Art-direct only after the portal proof of concept.
WORLD-R3,R3 archive echo world,world_asset,Luan,Owned,Derived from WORLD-000,Archive recess and Atlas location,not_created,Art-direct only after the portal proof of concept.
WORLD-R4,R4 home echo world,world_asset,Luan,Owned,Derived from WORLD-000,Homestead fire final frame and death reality,not_created,Preserve arrival lived pre-fire burned final-frame and aftermath milestones independently.
CHAR-001,Protagonist visual continuity kit,character_asset,Source or owner not yet recorded,Publication rights not yet verified,Design not locked,R0 early through R4 final equipment states,rights_pending,Record skin provenance and publication rights before hero capture.
CHAR-002,Moss continuity profile,in_game_character,Minecraft entity under SW-001,Publication rights review not recorded,Minecraft 1.20.1 candidate,Wild intervention taming naming routines and crossings,planned,No recorded performance exists. Track collar name pose ownership and health during tests.
CHAR-003,Creeper continuity profile,in_game_character,Minecraft entity under SW-001,Publication rights review not recorded,Minecraft 1.20.1 candidate,Scene 11 route plant and Scene 12 interruption,planned,Route timing damage and aftermath remain untested.
PROP-001,Clean survey journal pages,original_graphic,Luan planned,Authorship record pending creation,Not created,Symbols coordinates markers and ECHOES,not_created,Use the stitched corner three-line ravine symbol and arrow-shaped seven.
PROP-002,Weeping Atlas pages,original_graphic,Luan planned,Authorship record pending creation,Not created,Archive inserts and final topology,not_created,Use only Script wording and do not restore direct-discharge language.
SET-001,Moss-green rug and hearth state kit,set_asset,Luan planned,Authorship record pending creation,Not created,Domestic montage fire origin and burned-room continuity,not_created,Build separate rug-growth states and test the final fire path.
SET-002,Crying-frame anchor and baffle state kit,set_asset,Luan planned,Authorship record pending creation,Not created,Inert mouth completed source prepared ignition and aftermath,not_created,Include asymmetry references and a protagonist-free aftermath state.
SET-003,MATCH PATH ridge state kit,set_asset,Luan planned,Authorship record pending creation,Not created,Scenes 1 2 and 10 match continuity,not_created,Keep R0 morning and R4 fire-night dressings restorable.
CONT-001,MATCH PATH and MATCH FRAME A reference pack,continuity_asset,Luan planned,Authorship record pending creation,Not created,Exact camera lighting performance and edit matches,not_created,Record numerical transforms and reference imagery only after the sets exist.
AUDIO-001,Narration master,audio,Luan planned,Authorship and performer record pending recording,Not recorded,Third-person narration and exact Scene 2 to Scene 13 reuse,not_recorded,No narration file exists. Record the mining-departure sentence once.
AUDIO-002,Ambience and foley library,audio,Source not selected,Source and licence not recorded,Not selected,Wind rain fire work footsteps paws and room tone,rights_pending,Use original recordings or documented licensed sources.
AUDIO-003,Moss gate bark performance,audio_element,No recording exists,Source and rights not recorded,Not recorded,Scene 9 source and Scene 12 subjective reuse,not_recorded,Use the same future performance in both scenes.
MUSIC-001,Restrained score elements,music,Source not selected,Source and licence not recorded,Not selected,Montage and limited dramatic support,rights_pending,No music is required in Scene 1 or after the Scene 12 death.
VFX-001,Echo portal visual treatment,vfx_asset,Luan planned,Authorship record pending creation,Not created,Particles destination views and portal failure,not_created,Live rendering remains conditional on validation.
VFX-002,Fire smoke blast and delayed activation treatment,vfx_asset,Luan planned,Authorship and source records pending creation,Not created,Scenes 1 9 10 and 12,not_created,Record every third-party element. Delayed activation is invented canon.
GFX-001,Title Atlas labels and readable inserts,graphic_asset,Luan planned,Font and authorship rights not recorded,Not created,Title journal and Atlas information,rights_pending,Verify font rights and delivery-size legibility.
TOOL-001,Camera replay and recording toolchain,production_tool,Tool not selected,Licence not recorded,Unselected,Repeatable camera paths and capture,selection_pending,Add exact tools and versions only after baseline compatibility testing.
TOOL-002,Editing and compositing toolchain,production_tool,Tool not selected,Licence not recorded,Unselected,Portal composites VFX sound and final assembly,selection_pending,No editor or plug-in is approved by this plan.
